id,observed_on,latitude,longitude,place_county_name,place_state_name,place_country_name,scientific_name,common_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
7489101,2017-08-12,45.3730413365,-110.4849561119,Park,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7489111,2017-08-12,45.3730256204,-110.4848315568,Park,Montana,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7489120,2017-08-12,45.3729627142,-110.4851926492,Park,Montana,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis,
7489130,2017-08-12,45.3731598147,-110.4851300364,Park,Montana,United States,Boloria chariclea,Arctic Fritillary,Nymphalidae,Boloria,Boloria chariclea,
7490440,2017-08-12,45.3732309351,-110.4852274341,Park,Montana,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7490462,2017-08-12,45.3731098779,-110.4850839787,Park,Montana,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis,
7539318,2017-08-17,46.2964475295,-111.9438633231,Jefferson,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7539594,2017-08-17,46.2973080995,-111.9437981957,Jefferson,Montana,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7548959,2017-07-22,47.52721571,-122.12247466,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7548979,2017-07-22,47.52699151,-122.12272937,King,Washington,United States,Limenitis lorquini,Lorquin's Admiral,Nymphalidae,Limenitis,Limenitis lorquini,
7549026,2017-07-22,47.52720693,-122.12265748,King,Washington,United States,Papilio rutulus,Western Tiger Swallowtail,Papilionidae,Papilio,Papilio rutulus,
7562947,2017-08-19,45.627577398,-110.8924376407,Gallatin,Montana,United States,Colias eurytheme,Orange Sulphur,Pieridae,Colias,Colias eurytheme,
7562967,2017-08-19,45.6276211785,-110.8929753398,Gallatin,Montana,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7562972,2017-08-19,45.6279970771,-110.892597969,Gallatin,Montana,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7562974,2017-08-19,45.6280088385,-110.8925953596,Gallatin,Montana,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus,
7664453,2017-08-26,40.6380512612,-111.5957699251,Salt Lake,Utah,United States,Speyeria hesperis tetonia,,Nymphalidae,Speyeria,Speyeria hesperis,Speyeria hesperis tetonia
7666086,2017-08-26,40.6381435884,-111.5955034607,Salt Lake,Utah,United States,Speyeria callippe harmonia,,Nymphalidae,Speyeria,Speyeria callippe,Speyeria callippe harmonia
7668812,2017-08-26,48.06238806,-121.48136784,Snohomish,Washington,United States,Parnassius clodius,Clodius Parnassian,Papilionidae,Parnassius,Parnassius clodius,
7668841,2017-08-26,48.064757,-121.48375989,Snohomish,Washington,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7668843,2017-08-26,48.06481203,-121.48351296,Snohomish,Washington,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7668850,2017-08-26,48.06461627,-121.48368899,Snohomish,Washington,United States,Lycaena mariposa,Mariposa Copper,Lycaenidae,Lycaena,Lycaena mariposa,
7678547,2017-08-27,48.9217671846,-121.6418074352,Whatcom,Washington,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7678820,2017-08-27,48.9217536478,-121.6417678726,Whatcom,Washington,United States,Plebejus anna,Anna's Blue,Lycaenidae,Plebejus,Plebejus anna,
7679110,2017-08-27,48.9125258614,-121.6406562264,Whatcom,Washington,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7679116,2017-08-27,48.92179654,-121.64175387,Whatcom,Washington,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7681534,2017-08-27,47.3461329611,-120.5376636052,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7681536,2017-08-27,47.3471655697,-120.5380270445,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7681558,2017-08-27,47.3472801503,-120.5381203351,Chelan,Washington,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7681581,2017-08-27,47.3464538623,-120.5377800298,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7681583,2017-08-27,47.3462113319,-120.5380076823,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7681589,2017-08-27,47.3469460896,-120.5377188419,Chelan,Washington,United States,Speyeria coronis,Coronis Fritillary,Nymphalidae,Speyeria,Speyeria coronis,
7681627,2017-08-27,47.3457549792,-120.537290359,Chelan,Washington,United States,Ochlodes sylvanoides,Woodland Skipper,Hesperiidae,Ochlodes,Ochlodes sylvanoides,
7681637,2017-08-27,47.3420920875,-120.5371851661,Chelan,Washington,United States,Speyeria zerene,Zerene Fritillary,Nymphalidae,Speyeria,Speyeria zerene,
7681641,2017-08-27,47.3422788363,-120.5365171285,Chelan,Washington,United States,Cercyonis oetus,Small Wood-Nymph,Nymphalidae,Cercyonis,Cercyonis oetus,
7688514,2017-08-26,45.314541513,-111.3706771305,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7688515,2017-08-26,45.3144572849,-111.3706047884,Gallatin,Montana,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus,
7688522,2017-08-26,45.3150170923,-111.3703024295,Gallatin,Montana,United States,Lycaena helloides,Purplish Copper,Lycaenidae,Lycaena,Lycaena helloides,
7688523,2017-08-26,45.314961533,-111.3701812345,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7688524,2017-08-26,45.342571739,-111.2063792742,Gallatin,Montana,United States,Lycaena dorcas,Dorcas Copper,Lycaenidae,Lycaena,Lycaena dorcas,
7688525,2017-08-26,45.3152513661,-111.3701560815,Gallatin,Montana,United States,Polygonia faunus,Green Comma,Nymphalidae,Polygonia,Polygonia faunus,
7688530,2017-08-26,45.3151778674,-111.3702797556,Gallatin,Montana,United States,Thymelicus lineola,European Skipper,Hesperiidae,Thymelicus,Thymelicus lineola,
7688533,2017-08-26,45.3151426019,-111.3699644712,Gallatin,Montana,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7688535,2017-08-26,45.3153940011,-111.3702772838,Gallatin,Montana,United States,Speyeria hydaspe,Hydaspe Fritillary,Nymphalidae,Speyeria,Speyeria hydaspe,
7688539,2017-08-26,45.3153842781,-111.3702004218,Gallatin,Montana,United States,Speyeria hesperis,Northwestern Fritillary,Nymphalidae,Speyeria,Speyeria hesperis,
7688593,2017-08-26,45.3441362596,-111.3692404424,Gallatin,Montana,United States,Colias pelidne,Pelidne Sulphur,Pieridae,Colias,Colias pelidne,
7688603,2017-08-26,45.344088178,-111.3692291268,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688630,2017-08-26,45.3439057153,-111.3690768276,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688632,2017-08-26,45.3438805277,-111.3691113611,Gallatin,Montana,United States,Colias pelidne,Pelidne Sulphur,Pieridae,Colias,Colias pelidne,
7688634,2017-08-26,45.3439720162,-111.3690552862,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688637,2017-08-26,45.3438765044,-111.3690832817,Gallatin,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7688641,2017-08-26,45.3439580184,-111.3690468204,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688643,2017-08-26,45.3438611655,-111.3690443897,Gallatin,Montana,United States,Colias meadii,Mead's Sulphur,Pieridae,Colias,Colias meadii,
7688647,2017-08-26,45.3439180367,-111.369041456,Gallatin,Montana,United States,Polygonia gracilis,Hoary Comma,Nymphalidae,Polygonia,Polygonia gracilis,
7688650,2017-08-26,45.343847503,-111.3690231835,Gallatin,Montana,United States,Colias meadii,Mead's Sulphur,Pieridae,Colias,Colias meadii,
7688654,2017-08-26,45.3438209743,-111.3689941821,Gallatin,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7688655,2017-08-26,45.3438946093,-111.3690441382,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688656,2017-08-26,45.3438609979,-111.3690385223,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688658,2017-08-26,45.3438908793,-111.3690509276,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7688659,2017-08-26,45.3438325832,-111.3689873089,Gallatin,Montana,United States,Pontia occidentalis occidentalis,Western White ssp. occidentalis,Pieridae,Pontia,Pontia occidentalis,Pontia occidentalis occidentalis
7688666,2017-08-26,45.3438319127,-111.3689996303,Gallatin,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7688667,2017-08-26,45.3438733612,-111.3690085151,Gallatin,Montana,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7688668,2017-08-26,45.3438746604,-111.3690294699,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7691663,2017-08-26,45.6081044269,-110.8825255019,Gallatin,Montana,United States,Colias philodice,Clouded Sulphur,Pieridae,Colias,Colias philodice,
7691667,2017-08-26,45.6080979698,-110.88254871,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7691674,2017-08-26,45.6080834732,-110.8825414435,Gallatin,Montana,United States,Speyeria mormonia,Mormon Fritillary,Nymphalidae,Speyeria,Speyeria mormonia,
7691680,2017-08-26,45.6071319291,-110.8823187695,Gallatin,Montana,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7691699,2017-08-26,45.6070720479,-110.8805599629,Gallatin,Montana,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7695168,2017-08-28,40.6323140941,-111.7113581576,Salt Lake,Utah,United States,Lycaena dorcas sangremar,,Lycaenidae,Lycaena,Lycaena dorcas,Lycaena dorcas sangremar
7695175,2017-08-28,40.6664258894,-111.7305376009,Salt Lake,Utah,United States,Speyeria hesperis,Northwestern Fritillary,Nymphalidae,Speyeria,Speyeria hesperis,
7695186,2017-08-28,40.6664995244,-111.7304839567,Salt Lake,Utah,United States,Speyeria hesperis tetonia,,Nymphalidae,Speyeria,Speyeria hesperis,Speyeria hesperis tetonia
7695200,2017-08-28,40.666528903,-111.7305785046,Salt Lake,Utah,United States,Speyeria egleis utahensis,,Nymphalidae,Speyeria,Speyeria egleis,Speyeria egleis utahensis
7695230,2017-08-28,40.6668675319,-111.7307490763,Salt Lake,Utah,United States,Speyeria cybele,Great Spangled Fritillary,Nymphalidae,Speyeria,Speyeria cybele,
7695254,2017-08-28,40.6666073576,-111.7305544485,Salt Lake,Utah,United States,Lycaena helloides,Purplish Copper,Lycaenidae,Lycaena,Lycaena helloides,
7695289,2017-08-28,40.7471016809,-111.8658650649,Salt Lake,Utah,United States,Speyeria egleis utahensis,,Nymphalidae,Speyeria,Speyeria egleis,Speyeria egleis utahensis
7695359,2017-08-28,40.6668410451,-111.7310523336,Salt Lake,Utah,United States,Plebejus melissa annetta,,Lycaenidae,Plebejus,Plebejus melissa,Plebejus melissa annetta
7695374,2017-08-28,40.6668389915,-111.7310786528,Salt Lake,Utah,United States,Pontia occidentalis,Western White,Pieridae,Pontia,Pontia occidentalis,
7786228,2017-09-02,41.9214966568,-111.6471907218,Cache,Utah,United States,Lycaena helloides,Purplish Copper,Lycaenidae,Lycaena,Lycaena helloides,
