scientific_name,latitude,longitude,observed_on,provider
Celastrina echo,37.0162802833,-122.08216745,2013-04-07,iNat
Celastrina echo,37.3485102289,-122.2489533784,2013-04-09,iNat
Celastrina echo,32.8155600845,-116.8828616866,2013-04-07,iNat
Vanessa cardui,32.7791265,-117.2210312,2009-02-21,iNat
Vanessa cardui,34.136488,-118.054801,2013-03-24,iNat
Vanessa cardui,34.136491,-118.054816,2013-04-07,iNat
Celastrina echo,34.4327440011,-119.5306330919,2013-04-16,iNat
Celastrina echo,41.869410903,-123.7380044914,2012-08-04,iNat
Celastrina echo,34.7602831222,-119.9544355273,2013-04-19,iNat
Celastrina echo,34.142047705,-118.8237098618,2013-04-22,iNat
Celastrina echo,37.665935,-122.417703,2013-05-04,iNat
Celastrina echo,37.316181,-122.189115,2013-03-24,iNat
Vanessa cardui,37.737734,-122.370378,2012-07-28,iNat
Colias eurytheme,32.5542929,-117.0857942,2013-05-07,iNat
Vanessa cardui,37.3905297127,-122.1345507077,2013-05-11,iNat
Colias eurytheme,37.896206,-122.252276,2013-05-10,iNat
Celastrina echo,37.56266,-122.512246,2013-04-14,iNat
Celastrina echo,37.9123333333,-121.9491666667,2013-05-14,iNat
Vanessa cardui,32.5517128,-117.0634152,2013-05-14,iNat
Vanessa cardui,32.552137,-117.073024,2013-05-14,iNat
Colias eurytheme,37.878605,-121.91318,2013-05-19,iNat
Celastrina echo,37.878605,-121.91318,2013-05-19,iNat
Boloria epithore,37.113713,-122.061307,2013-05-24,iNat
Colias eurytheme,37.510134,-121.828423,2013-05-25,iNat
Celastrina echo,37.7855,-122.4026666667,2013-05-30,iNat
Celastrina echo,37.3631666667,-122.1741666667,2013-06-01,iNat
Colias eurytheme,37.971782,-121.861398,2013-06-01,iNat
Celastrina echo,37.524249,-122.320672,2013-06-05,iNat
Celastrina echo,37.307916,-122.174578,2013-06-05,iNat
Vanessa cardui,39.874016,-104.916254,2011-10-12,iNat
Vanessa cardui,37.720849,-122.421576,2013-06-08,iNat
Celastrina echo,37.717255,-122.393369,2013-06-08,iNat
Vanessa cardui,37.720822,-122.421549,2013-06-08,iNat
Colias eurytheme,32.7867371,-116.4495899,2013-06-11,iNat
Colias eurytheme,32.777213,-116.4476485,2013-06-11,iNat
Celastrina echo,36.0603333333,-121.5701666667,2013-06-15,iNat
Vanessa cardui,33.244333,-117.088789,2008-03-17,iNat
Colias eurytheme,38.612981,-122.785864,2013-06-15,iNat
Celastrina echo,37.105576,-122.27920399999999,2013-06-16,iNat
Colias eurytheme,46.962166,-112.977,2012-07-24,iNat
Celastrina echo,37.396052,-122.315803,2013-06-19,iNat
Celastrina echo,37.8617358375,-122.6205842783,2013-06-22,iNat
Celastrina echo,39.33683,-120.332716,2013-06-17,iNat
Polygonia gracilis,40.76655,-111.825596,2013-06-23,iNat
Polygonia gracilis,44.188002,-106.858053,2013-06-13,iNat
Polygonia gracilis,37.691258,-119.110733,2013-06-23,iNat
Celastrina echo,38.0958333333,-122.8875,2013-06-27,iNat
Vanessa cardui,37.719265,-122.421871,2013-06-22,iNat
Celastrina echo,37.978102,-122.614733,2013-06-28,iNat
Celastrina echo,38.045239,-122.872252,2013-06-29,iNat
Colias eurytheme,33.315036,-116.57974,2013-06-29,iNat
Colias eurytheme,33.313216,-116.576032,2013-06-29,iNat
Celastrina echo,37.7956666667,-122.3975,2013-07-01,iNat
Celastrina echo,37.7956666667,-122.3975,2013-07-01,iNat
Celastrina echo,35.9754607195,-121.3136800741,2013-06-30,iNat
Polygonia gracilis,48.727124,-122.308602,2013-07-03,iNat
